origin,destination,distance,duration,elevation_change
ID-04,CH-09,1.873433565,18.05,-34.4703836441
ID-04,CH-12,2.088427931,18.8833333333,-34.3236274719
ID-04,CH-15,2.223265438,20.2166666667,-34.297519207
ID-04,DPD-01,2.27421786,19.5666666667,-34.0560381413
ID-04,DPD-03,7.228408843,49.0333333333,-33.9884176254
ID-04,EL-01,2.458143676,22.5333333333,-33.8425865173
ID-04,EL-03,3.855607055,30.4333333333,-33.8421211243
ID-04,EL-05,4.545950236,32.4166666667,-33.6862792969
ID-04,FH-01,1.340297247,15.3666666667,-33.5834121704
ID-04,FH-04,1.198624659,12.5166666667,-33.51014328
ID-04,CBD-05,0.909687144,7.5,-33.449634552
ID-04,CD-01,0.69593552,8.53333333333,-33.4451236725
ID-04,CBD-04,0.977416583,11.1833333333,-33.4230761528
PS-05,BT-01,1.989629942,18.2,-33.1551094055
PS-05,BT-03,1.70255654,14.8666666667,-33.0438232422
PS-05,BT-04,1.639176698,15.3833333333,-33.0397548676
PS-05,BT-05,1.622399681,15.0166666667,-33.0326385498
PS-05,CBD-13,1.001650052,11.8,-32.9278650284
PS-05,CBD-03,1.309850068,13.1166666667,-32.9101066589
PS-05,CBD-07,0.474106073,5.4,-32.819899559
PS-05,CBD-06,0.658031889,7.15,-32.7979164124
PS-05,CH-01,2.023805347,20.6833333333,-32.6736030579
PS-05,CH-02,2.256819472,22.1833333333,-32.6601419449
PS-05,CH-03,2.539543277,23.3166666667,-32.6469035149
PS-05,CH-05,2.451308595,23.5666666667,-32.5387420654
PS-05,CH-06,2.113282771,20.4,-32.4616088867
PS-05,CH-07,2.124467449,21.9666666667,-32.2766056061
PS-05,CH-08,1.912579938,19.5833333333,-32.1797637939
PS-05,CH-09,1.852928322,19.1666666667,-32.1635546684
PS-05,CH-12,1.733003719,18.0,-32.1173858643
PS-05,CH-15,2.500396904,23.0833333333,-32.0913848877
PS-05,DPD-01,2.275460602,18.8666666667,-32.0356636047
PS-05,DPD-03,8.901760946,56.7166666667,-31.9767456055
PS-05,EL-01,2.496047307,21.4666666667,-31.9041223526
PS-05,EL-03,3.091942096,24.4833333333,-31.7479019165
PS-05,EL-05,4.242099817,31.8666666667,-31.6032981873
PS-05,FH-01,1.355831522,15.45,-31.4789896011
PS-05,FH-04,1.476377496,15.3666666667,-31.2500345707
PS-05,ID-04,0.295772596,2.95,-31.1248016357
PS-05,PS-04,0.266568159,1.6,-31.1049890518
PS-05,CBD-05,0.702770601,5.48333333333,-31.0485687256
PS-05,CD-01,0.973688357,11.3833333333,-30.9783136845
PS-05,CBD-04,0.948212146,10.95,-30.8696060181
PS-04,BT-01,1.778363802,16.8166666667,-30.8372659683
PS-04,BT-03,1.4912904,13.4833333333,-30.704246521
PS-04,BT-04,1.427910558,14.0,-30.6930618286
PS-04,BT-05,1.411133541,13.6166666667,-30.6226694584
PS-04,CBD-13,0.790383912,10.4166666667,-30.5200884342
