origin,destination,distance,duration,elevation_change
BT-05,UW-10,5.24437124,31.3833333333,30.3195934296
BT-05,WF-01,0.830773027,6.05,40.9875147343
BT-05,WF-04,0.83885085,5.15,39.0950312614
BT-05,CBD-05,0.808403671,6.03333333333,34.4703836441
BT-05,CD-01,1.716226702,17.7833333333,-20.7599563599
BT-05,SLU-20,0.846928673,7.68333333333,4.36514663696
BT-05,CBD-04,0.575389546,6.36666666667,2.99139404297
BT-05,SLU-21,0.947590775,7.68333333333,32.9278650284
CBD-13,BT-01,1.129652478,9.16666666667,5.10860061646
CBD-13,BT-03,0.699663746,5.1,8.64455032349
CBD-13,BT-04,0.779820605,6.33333333333,8.18632507324
CBD-13,BT-05,0.373443971,3.21666666667,-1.82287597656
CBD-13,CBD-03,0.449872604,4.08333333333,-6.03321075439
CBD-13,CBD-07,0.77671375,7.73333333333,10.9275436401
CBD-13,SLU-16,0.597137531,5.81666666667,-6.29238510132
CBD-13,CBD-06,0.343618163,1.86666666667,17.1551055908
CBD-13,CH-01,1.164449254,11.65,-39.8025283813
CBD-13,CH-02,1.618671455,16.2833333333,-61.1784133911
CBD-13,CH-03,1.495639997,14.4666666667,-42.0800170898
CBD-13,CH-05,1.884618243,18.9833333333,-85.839012146
CBD-13,CH-06,1.546592419,15.5666666667,-64.4144668579
CBD-13,CH-07,1.557777097,17.3833333333,-82.0407791138
CBD-13,CH-08,1.274431921,13.5333333333,-52.7951889038
CBD-13,CH-09,1.094234331,11.8333333333,-50.0640335083
CBD-13,CH-12,0.873026255,8.95,-29.0610275269
CBD-13,CH-15,1.933706552,18.25,-75.6034469604
CBD-13,DPD-01,1.416104509,9.83333333333,29.9250259399
CBD-13,DPD-03,8.041783482,47.6833333333,21.1071014404
CBD-13,EL-01,1.636691214,12.4166666667,33.4451236725
CBD-13,EL-03,2.232586003,15.45,33.8421211243
CBD-13,EL-05,3.382743724,22.8333333333,22.2453804016
CBD-13,FH-01,1.021533924,11.15,-55.134765625
CBD-13,FH-04,1.602515809,15.5166666667,-43.1418380737
CBD-13,ID-04,1.090506105,10.2166666667,26.0581741333
CBD-13,PS-05,0.902230692,7.53333333333,30.8372659683
CBD-13,PS-04,0.799704477,6.63333333333,34.3236274719
CBD-13,SLU-01,1.234664177,10.5333333333,3.84907913208
CBD-13,SLU-02,1.644147666,12.2666666667,24.0313816071
CBD-13,SLU-04,1.413619025,10.25,30.081246376
CBD-13,SLU-07,1.064408523,7.83333333333,21.8207302094
CBD-13,SLU-15,0.535621802,4.83333333333,10.8668022156
CBD-13,SLU-17,1.713741218,12.4,33.9884176254
CBD-13,SLU-18,0.988601261,7.31666666667,8.54196929932
CBD-13,SLU-19,1.232178693,9.0,4.62525177002
CBD-13,UD-01,7.087978997,40.6333333333,27.550201416
CBD-13,UD-02,5.802983769,36.1666666667,-4.54303741455
CBD-13,UD-04,5.463093832,33.5166666667,12.616809845
CBD-13,UD-07,4.482570394,33.2833333333,-22.9550018311
CBD-13,UW-01,6.458530174,40.1666666667,-14.2137489319
CBD-13,UW-02,6.080115235,40.4,-22.1021270752
CBD-13,UW-04,5.702321667,35.3333333333,7.91460418701
CBD-13,UW-06,6.047182572,37.1333333333,2.97463607788
